Name,Color,Rarity,# GP,% GP,GP WR,# OH,OH WR,power_level
Overwhelming Splendor,W,M,540,63.1,55.9,108,,2
Rags // Riches,UB,R,1681,62.9,55.9,274,,2
"Samut, the Tested",RG,M,832,74.6,55.9,141,,2
Edifice of Authority,,U,10357,88.4,55.8,1971,53.6%,2
Riddleform,U,U,3875,53.7,55.8,826,57.5%,1
Strategic Planning,U,C,3790,22.6,55.8,730,54.5%,1
Lord of the Accursed,B,U,5068,79.6,55.8,1052,59.9%,2
River Hoopoe,UG,U,4158,52.2,55.8,865,56.3%,1
Synchronized Strike,G,U,4228,59.8,55.8,694,57.1%,1
Sheltered Thicket,,R,1605,67.6,55.8,302,,2
Anger of the Gods,R,R,1512,67.9,55.7,272,,2
Those Who Serve,W,C,6345,37.0,55.6,1254,55.8%,1
Horror of the Broken Lands,B,C,13048,68.3,55.6,2985,54.2%,2
Hooded Brawler,G,C,13510,68.3,55.6,3266,55.3%,2
Aerial Guide,U,C,11450,66.7,55.6,2521,53.6%,2
Irrigated Farmland,,R,1620,67.3,55.6,272,,2
Bitterbow Sharpshooters,G,C,11486,68.6,55.6,2276,53.6%,2
Wasp of the Bitter End,B,U,4312,65.3,55.5,905,52.9%,2
Shed Weakness,G,C,5823,36.8,55.5,1078,55.1%,1
Nimble-Blade Khenra,R,C,8241,48.3,55.4,1705,54.5%,1
Vizier of the Menagerie,G,M,1027,84.4,55.4,190,,2
Djeru's Resolve,W,C,3816,24.5,55.4,685,52.8%,1
Pull from Tomorrow,U,R,1948,75.4,55.4,321,,2
Fetid Pools,,R,1643,71.6,55.4,288,,2
Approach of the Second Sun,W,R,2167,69.6,55.4,369,,2
Gravedigger,B,U,6864,85.3,55.4,1299,55.0%,2
Quarry Hauler,G,C,8332,49.6,55.4,1644,53.7%,1
Throne of the God-Pharaoh,,R,756,60.3,55.3,112,,1
Bone Picker,B,U,5692,83.5,55.3,1097,54.2%,2
Lord of Extinction,BG,R,1312,65.6,55.3,214,,2
Naga Oracle,U,C,6539,36.0,55.2,1275,55.0%,1
Final Reward,B,C,16677,80.6,55.2,3478,53.0%,2
Shadowstorm Vizier,UB,U,3542,50.7,55.2,726,58.5%,1
Festering Mummy,B,C,8294,60.4,55.2,1703,55.8%,1
Hope Tender,G,U,5328,69.2,55.2,980,58.5%,2
Soul-Scar Mage,R,R,1446,72.8,55.2,243,,2
Ahn-Crop Champion,WG,U,3409,49.8,55.2,682,58.1%,1
Wayward Servant,WB,U,3641,60.2,55.1,767,59.8%,1
Appeal // Authority,WG,U,2727,39.5,55.1,502,54.8%,1
Disposal Mummy,W,C,5642,36.8,55.1,1085,52.4%,1
Hollow One,,R,1252,66.1,55.0,219,,2
Sunscorched Desert,,C,6019,43.7,55.0,1035,54.6%,1
Ruthless Sniper,B,U,5969,72.5,55.0,1181,59.9%,2
Reduce // Rubble,UR,U,839,14.9,54.9,142,,1
Sidewinder Naga,G,C,6518,39.7,54.9,1380,53.5%,1
Oasis Ritualist,G,C,12494,64.9,54.9,2779,55.8%,2
Thorned Moloch,R,C,9566,55.8,54.9,2044,52.1%,1
Soulstinger,B,C,11447,66.6,54.9,2377,53.9%,2
Shefet Monitor,G,U,5792,80.7,54.9,1077,54.0%,2
Greater Sandwurm,G,C,12096,67.7,54.8,2389,52.3%,2
Canyon Slough,,R,1721,69.8,54.8,315,,2
Abandoned Sarcophagus,,R,1092,57.9,54.8,200,,1
Wander in Death,B,C,10586,58.1,54.7,2002,51.4%,1
Initiate's Companion,G,C,8043,52.5,54.7,1707,57.5%,1
Feral Prowler,G,C,8634,57.6,54.7,1921,55.8%,1
Dread Wanderer,B,R,1628,75.3,54.7,294,,2
Majestic Myriarch,G,M,957,73.5,54.6,153,,2
Hekma Sentinels,U,C,6545,35.3,54.6,1313,54.2%,1
Dune Beetle,B,C,3338,21.2,54.6,682,53.1%,1
Watchers of the Dead,,U,1573,24.7,54.6,281,,1
Crash Through,R,C,4868,29.2,54.6,972,55.8%,1
Winds of Rebuke,U,C,5150,29.3,54.6,990,55.1%,1
Seer of the Last Tomorrow,U,C,2314,14.0,54.6,457,,1
In Oketra's Name,W,C,4394,27.2,54.5,789,53.4%,1
"Neheb, the Worthy",BR,R,1144,53.8,54.5,205,,1
Naga Vitalist,G,C,10981,69.4,54.4,2322,55.2%,2
Torment of Hailfire,B,R,1395,75.8,54.4,223,,2
Kefnet the Mindful,U,M,704,72.7,54.4,111,,2
Onward // Victory,WR,U,1923,28.9,54.4,327,,1
Prowling Serpopard,G,R,1582,81.6,54.4,282,,2
Ancient Crab,U,C,2004,11.5,54.3,422,,1
Khenra Eternal,B,C,10028,67.5,54.3,2168,56.8%,2
Merciless Javelineer,BR,U,3809,49.0,54.3,749,50.5%,1
Ornery Kudu,G,C,8279,48.7,54.3,1762,53.7%,1
Defiant Greatmaw,G,U,4831,75.3,54.3,922,54.1%,2
Champion of Rhonas,G,R,1792,80.5,54.2,291,,2
Tormenting Voice,R,C,4593,27.1,54.2,874,49.4%,1
Gate to the Afterlife,,U,618,12.2,54.2,127,,1
Drake Haven,U,R,2468,81.1,54.2,453,,2
Lethal Sting,B,C,11246,68.5,54.1,2206,51.7%,1
Scarab Feast,B,C,2819,17.3,54.1,564,56.7%,1
Doomed Dissenter,B,C,10625,73.2,54.1,2311,54.0%,1
Crypt of the Eternals,,U,2042,36.4,54.1,382,,1
Harsh Mentor,R,R,1285,77.9,54.1,232,,1
Spring // Mind,UG,U,3361,48.3,54.1,691,54.1%,1
Aven Mindcensor,W,R,1233,70.7,54.0,194,,1
Unburden,B,C,4421,30.7,53.9,847,50.2%,1
Marauding Boneslasher,B,C,8342,54.4,53.9,1887,53.8%,1
Rhonas's Monument,,U,2236,54.8,53.8,408,,1
Thoughtseize,B,R,930,59.5,53.8,141,,1
Ramunap Excavator,G,R,997,61.1,53.8,178,,1
Destined // Lead,BG,U,2043,35.0,53.7,347,,1
Obelisk Spider,BG,U,3567,60.9,53.7,682,56.3%,1
Wasteland Scorpion,B,C,10765,71.7,53.7,2325,52.1%,1
Watchful Naga,G,U,4729,71.2,53.7,936,54.1%,1
Unconventional Tactics,W,U,3296,50.8,53.7,605,50.4%,1
Slither Blade,U,C,2588,20.8,53.7,589,58.6%,1
Bontu the Glorified,B,M,768,69.3,53.5,128,,1
Pouncing Cheetah,G,C,3587,27.1,53.5,699,48.9%,1
Miasmic Mummy,B,C,6618,47.0,53.5,1383,52.6%,1
Blighted Bat,B,C,6411,46.1,53.4,1352,51.5%,1
Supernatural Stamina,B,C,3693,28.7,53.2,663,54.4%,1
Doomfall,B,U,2893,59.4,53.1,513,53.2%,1
Beneath the Sands,G,C,5811,37.4,53.1,1200,51.0%,0
Pitiless Vizier,B,C,6783,40.9,53.1,1370,49.9%,0
Mirage Mirror,,R,1196,74.1,53.1,223,,1
Stinging Shot,G,C,3319,21.3,53.0,607,51.1%,0
"Nissa, Steward of Elements",UG,M,632,56.1,53.0,101,,0
Cryptic Serpent,U,U,3043,49.5,52.8,537,52.7%,0
Floodwaters,U,C,4687,24.7,52.8,820,49.4%,0
Forsake the Worldly,W,C,2583,16.8,52.8,436,,0
Nest of Scarabs,B,U,2561,50.7,52.4,502,51.4%,0
Pursue Glory,R,C,3238,18.4,52.3,532,49.8%,0
Renewed Faith,W,U,905,17.3,52.0,149,,0
Scavenger Grounds,,R,529,38.0,52.0,69,,0
Imminent Doom,R,R,596,33.6,51.8,97,,0
Dissenter's Deliverance,G,C,1272,8.4,51.4,205,,0
Oashra Cultivator,G,C,3322,24.4,50.9,670,49.6%,0
Bontu's Monument,,U,970,29.8,50.9,163,,0
Claim // Fame,BR,U,1192,21.9,50.8,207,,0
Manglehorn,G,U,1164,27.7,49.5,197,,0
Sixth Sense,G,U,1035,27.8,49.3,176,,0
Haze of Pollen,G,C,511,4.1,49.1,104,,0
Driven // Despair,BG,R,901,55.4,48.8,147,,0
Trespasser's Curse,B,C,1671,20.4,47.3,347,,0
Kefnet's Monument,,U,726,17.2,47.1,129,,0
Hazoret's Monument,,U,656,14.3,46.2,107,,0
Siege Veteran,W,R,38686,93.4,60.8,7110,71.1%,4
Wurmcoil Engine,,M,14327,99.9,60.0,2498,66.3%,4
Titania's Command,G,R,40204,89.7,59.9,6938,66.5%,4
Tyrant of Kher Ridges,R,R,37812,89.5,59.7,6245,63.5%,4
Cityscape Leveler,,M,18966,96.6,59.7,2998,63.8%,4
Skystrike Officer,U,R,36959,91.9,59.5,6638,67.7%,4
"Harbin, Vanguard Aviator",WU,R,25691,72.9,59.5,4604,66.0%,4
Gix's Command,B,R,36897,89.2,59.1,6293,64.2%,4
Static Net,W,U,118220,89.2,59.1,19766,61.1%,4
Steel Seraph,W,R,39848,99.1,59.1,6853,64.8%,4
Loran of the Third Path,W,R,34589,88.1,59.1,6136,62.2%,4
Skitterbeam Battalion,R,M,18016,91.0,58.9,2979,62.6%,4
Recruitment Officer,W,U,111509,85.9,58.9,19914,63.1%,4
Surge Engine,U,M,17847,89.3,58.8,3299,65.7%,3
Precursor Golem,,R,27801,98.7,58.7,4829,64.1%,3
Zephyr Sentinel,U,U,104863,82.9,58.6,18460,60.4%,3
Airlift Chaplain,W,C,282862,77.7,58.6,49704,59.0%,3
Platoon Dispenser,W,M,18721,98.6,58.5,3210,64.0%,3
Horned Stoneseeker,R,U,137866,89.2,58.4,24659,64.3%,3
Scrapwork Cohort,W,C,406621,90.8,58.4,69658,59.1%,3
Thopter Mechanic,U,U,111667,84.3,58.3,19905,65.2%,3
Mishra's Research Desk,R,U,137493,81.3,58.3,24884,58.3%,3
Scrapwork Mutt,R,C,452798,93.0,58.3,83567,59.8%,3
Ambush Paratrooper,W,C,271189,85.4,58.2,48329,58.6%,3
Third Path Iconoclast,UR,U,86949,65.0,58.2,15324,64.0%,2
Phyrexian Dragon Engine,R,R,39309,96.6,58.1,7094,62.6%,3
Yotian Tactician,WU,U,74826,71.3,58.1,12552,59.5%,3
Yotian Frontliner,W,U,79409,76.6,58.0,14440,60.0%,3
Aeronaut Cavalry,W,C,227506,74.4,58.0,35866,57.6%,3
Giant Cindermaw,R,U,122066,88.6,57.9,21344,60.3%,3
Simian Simulacrum,G,R,38840,97.2,57.9,6996,62.8%,3
In the Trenches,W,M,15862,85.4,57.9,2709,61.2%,3
"Myrel, Shield of Argive",W,M,16703,90.3,57.9,2793,63.1%,3
Misery's Shadow,B,R,36230,89.9,57.8,6512,64.6%,3
Military Discipline,W,C,97384,32.3,57.7,15401,56.9%,1
Skyfisher Spider,BG,U,112611,78.9,57.7,18595,58.8%,3
Prison Sentence,W,C,277477,87.7,57.6,47522,56.9%,3
Excavation Explosion,R,C,354626,90.7,57.6,61439,58.8%,3
"Feldon, Ronom Excavator",R,R,34524,84.3,57.5,6276,61.9%,3
Goblin Blast-Runner,R,C,236376,57.5,57.5,41336,60.0%,2
Loran's Escape,W,C,116714,43.1,57.5,18553,57.4%,2
"Saheeli, Filigree Master",UR,M,15084,80.7,57.5,2543,62.6%,3
Fallaji Vanguard,WR,U,81841,66.9,57.5,13607,58.3%,2
Combat Thresher,W,U,109907,88.7,57.5,19058,59.6%,3
Obliterating Bolt,R,U,121543,91.2,57.5,21240,58.9%,3
Machine Over Matter,U,C,129460,46.4,57.5,21294,55.8%,2
Portal to Phyrexia,,M,16760,90.2,57.5,2667,61.3%,3
Combat Courier,U,C,283898,77.6,57.4,52433,58.6%,3
Draconic Destiny,R,M,17462,86.7,57.4,3001,57.7%,3
Phalanx Vanguard,W,C,250294,81.9,57.3,44711,58.2%,3
Ashnod's Harvester,B,U,134589,90.6,57.3,24439,60.1%,3
Fallaji Archaeologist,U,C,91382,31.1,57.2,16130,57.8%,1
Fortified Beachhead,WU,R,20642,69.8,57.2,3717,57.7%,2
Desynchronize,U,C,64069,22.0,57.1,10032,56.0%,1
Sardian Cliffstomper,R,U,48499,45.3,57.1,8525,60.5%,1
Gaea's Gift,G,C,226459,68.8,57.1,36799,57.6%,2
Mishra's Command,R,R,36692,88.3,57.0,6223,57.3%,3
Arbalest Engineers,RG,U,68888,59.5,57.0,11944,58.5%,1
Mightstone's Animation,U,C,233555,62.4,56.9,38693,56.6%,2
Penregon Strongbull,R,C,322141,76.7,56.9,55186,55.2%,3
Monastery Swiftspear,R,U,70378,65.6,56.9,12501,60.5%,2
Autonomous Assembler,W,R,36668,95.9,56.8,6421,60.5%,3
Bitter Reunion,R,C,169277,48.8,56.8,29337,56.2%,1
Kayla's Command,W,R,29032,83.8,56.8,4921,58.7%,3
Blanchwood Prowler,G,C,212165,63.8,56.7,38247,58.3%,2
Roc Hunter,R,C,175626,57.3,56.7,31375,57.3%,1
Teething Wurmlet,G,R,30547,85.2,56.7,5444,65.0%,3
Warlord's Elite,W,C,230461,77.7,56.7,38249,56.1%,3
"Mishra, Claimed by Gix",BR,M,14571,77.9,56.7,2453,61.9%,3
The Mightstone and Weakstone,,R,36332,96.3,56.6,6197,58.1%,3
Obstinate Baloth,G,U,99994,87.4,56.6,16794,58.6%,3
Platinum Angel,,M,10141,89.3,56.6,1604,57.9%,3
Whirling Strike,R,C,199572,58.7,56.6,32507,55.1%,1
Gixian Puppeteer,B,R,34758,89.0,56.6,5917,58.7%,3
Evangel of Synthesis,UB,U,64055,54.7,56.6,11159,60.9%,1
"Hajar, Loyal Bodyguard",RG,R,13973,44.2,56.5,2404,62.4%,1
"Liberator, Urza's Battlethopter",,R,37149,98.8,56.5,6722,58.9%,3
Argothian Opportunist,G,C,302393,88.7,56.4,53706,58.9%,3
Visions of Phyrexia,R,R,34808,85.1,56.4,5958,59.1%,3
"Ashnod, Flesh Mechanist",B,R,32186,84.9,56.4,5664,59.9%,3
Soul Partition,W,R,18116,62.0,56.4,3012,57.5%,2
Rootwire Amalgam,G,M,15334,85.7,56.3,2679,59.5%,3
Mask of the Jadecrafter,G,U,114643,85.7,56.3,20410,57.1%,3
Air Marshal,U,C,113643,43.8,56.3,20016,55.2%,1
Unleash Shell,R,C,195133,65.3,56.3,31097,54.8%,2
"Gix, Yawgmoth Praetor",B,M,15763,86.7,56.3,2757,61.6%,3
Recommission,W,C,168195,60.9,56.3,27371,54.0%,1
Mazemind Tome,,R,23527,95.0,56.3,4249,57.0%,3
Stern Lesson,U,C,208551,71.3,56.3,35851,56.8%,2
Citanul Stalwart,G,C,198877,59.5,56.3,35247,60.1%,1
Transmogrant's Crown,B,R,37463,96.4,56.2,6611,59.5%,3
"Teferi, Temporal Pilgrim",U,M,14685,86.2,56.2,2459,59.3%,3
Phyrexian Fleshgorger,B,M,17198,95.9,56.2,2887,58.9%,3
Urza's Command,U,R,26831,80.4,56.1,4416,55.0%,3
Disenchant,W,C,178092,70.2,56.1,29502,54.5%,2
Boulderbranch Golem,G,C,279031,84.0,56.1,46317,54.9%,3
Aeronaut's Wings,,C,112582,40.4,56.1,18584,54.8%,1
Mishra's Bauble,,U,87580,88.1,56.1,15646,55.9%,3
Moment of Defiance,B,C,139913,44.2,56.1,22650,55.9%,1
Chromatic Star,,U,124064,84.6,56.1,22309,55.5%,3
Argothian Sprite,G,C,258560,82.3,56.0,45915,56.9%,3
Wing Commando,U,C,196536,78.2,56.0,34097,56.1%,3
Junkyard Genius,BR,U,97615,75.2,56.0,16744,58.0%,3
Weakstone's Subjugation,U,C,214875,79.1,56.0,35966,54.3%,3
Adaptive Automaton,,R,15877,85.2,55.9,2822,55.8%,2
Blanchwood Armor,G,U,22223,25.7,55.9,3605,56.4%,1
"Titania, Voice of Gaea",G,M,12100,77.3,55.9,2120,59.1%,2
Reconstructed Thopter,,U,98489,83.2,55.8,17339,54.2%,2
Overwhelming Remorse,B,C,296437,89.5,55.8,48727,55.0%,2
Tocasia's Welcome,W,R,28359,83.9,55.7,4938,58.6%,2
Hero of the Dunes,WB,U,76413,66.0,55.7,12445,54.9%,2
Bladecoil Serpent,UBR,M,16325,90.0,55.7,2735,55.8%,2
Battlefield Forge,WR,R,16623,54.8,55.7,3014,56.0%,1
Mishra's Juggernaut,R,C,188301,58.3,55.7,30344,54.0%,1
Giant Growth,G,C,101181,37.4,55.6,16016,54.9%,1
Levitating Statue,,U,79718,69.3,55.6,14385,56.5%,2
Gix's Caress,B,C,130790,41.9,55.6,22072,58.3%,1
Survivor of Korlis,W,C,82088,36.1,55.6,14413,55.9%,1
Epic Confrontation,G,C,244179,82.5,55.5,40592,54.6%,2
Audacity,G,U,55945,56.3,55.5,9236,55.7%,1
Queen Kayla bin-Kroog,WR,R,18195,51.7,55.5,3126,56.5%,1
Disfigure,B,C,249625,80.3,55.5,43587,56.1%,2
Clay Champion,WG,M,14566,85.3,55.5,2487,57.7%,2
Elsewhere Flask,,U,105674,70.6,55.4,18876,55.2%,2
"Argoth, Sanctum of Nature",G,R,21145,71.9,55.4,3841,58.8%,2
Awaken the Woods,G,M,11958,76.6,55.4,1945,55.8%,2
Energy Refractor,,C,276599,68.5,55.4,50123,54.9%,2
Tomakul Honor Guard,G,C,112798,44.2,55.4,20018,56.2%,1
Powerstone Engineer,W,C,169673,67.1,55.3,30317,56.1%,2
Ravenous Gigamole,B,C,151621,50.9,55.3,25387,55.6%,1
Helm of the Host,,M,12146,93.4,55.3,2093,56.9%,2
Ichor Wellspring,,U,94339,74.8,55.2,16912,55.7%,2
Sarinth Steelseeker,G,U,98460,84.7,55.2,17747,58.0%,2
Burrowing Razormaw,G,C,51181,19.4,55.2,8827,55.7%,1
Sibling Rivalry,R,C,111667,37.0,55.1,17656,52.3%,1
Underground River,UB,R,11513,43.0,55.1,2034,54.2%,1
Lay Down Arms,W,U,45747,59.5,55.0,7627,53.2%,1
"Urza, Prince of Kroog",WU,R,26024,79.0,55.0,4391,55.6%,2
Perimeter Patrol,G,C,127791,48.9,55.0,22139,55.7%,1
Haywire Mite,G,U,38850,51.1,54.9,6993,55.1%,1
Supply Drop,,C,64190,24.1,54.9,10396,51.9%,1
Blitz Automaton,R,C,167905,66.8,54.9,28840,53.4%,2
Go for the Throat,B,U,94348,88.3,54.9,16412,55.3%,2
Emergency Weld,B,C,213330,69.4,54.9,34831,52.9%,2
Urza's Rebuff,U,C,45442,21.5,54.8,7203,54.2%,1
Soul-Guide Lantern,,U,87378,64.8,54.8,15295,51.8%,2
Llanowar Wastes,BG,R,14110,51.4,54.8,2560,54.9%,1
"Hurkyl, Master Wizard",U,R,19596,68.2,54.8,3308,56.0%,2
Self-Assembler,,U,33244,38.2,54.8,5420,56.4%,1
Veteran's Powerblade,W,C,28258,12.8,54.8,4486,50.2%,1
Gurgling Anointer,B,U,80771,78.2,54.8,14107,55.3%,2
"Gwenna, Eyes of Gaea",G,R,27616,85.7,54.8,4967,57.9%,2
Conscripted Infantry,R,C,142186,50.9,54.7,24212,54.5%,1
Fauna Shaman,G,R,20716,74.6,54.7,3752,56.0%,2
Involuntary Cooldown,U,U,30929,34.9,54.7,4949,51.2%,1
Key to the City,,R,14800,74.7,54.6,2494,52.4%,2
Springleaf Drum,,U,44831,42.8,54.6,7845,54.3%,1
Legions to Ashes,WB,R,16095,56.0,54.6,2686,52.9%,1
Bushwhack,G,U,82362,83.3,54.5,14343,53.1%,2
Blast Zone,,R,13826,62.2,54.5,2343,54.1%,2
Runechanter's Pike,,R,7333,45.5,54.5,1177,52.2%,1
Gnawing Vermin,B,U,58068,58.6,54.5,10252,57.3%,1
Mass Production,W,U,29232,34.5,54.5,4332,52.7%,1
Koilos Roc,U,C,120455,53.2,54.5,19555,54.3%,1
Yotian Dissident,WG,U,73754,70.2,54.5,12920,58.0%,2
Scrapwork Rager,B,C,224513,81.6,54.5,38329,53.5%,2
Iron-Craw Crusher,G,U,71253,79.1,54.4,11665,55.1%,2
Dwarven Forge-Chanter,R,C,129602,47.5,54.4,22812,54.0%,1
Mishra's Onslaught,R,C,42570,17.3,54.4,6653,51.1%,1
Tomakul Scrapsmith,R,C,64494,23.8,54.4,11041,53.6%,1
Trench Stalker,B,C,126681,43.7,54.4,20201,53.9%,1
Thran Spider,,R,26951,89.3,54.3,4872,55.2%,2
Take Flight,U,U,60341,67.0,54.3,9681,51.9%,2
Kayla's Reconstruction,W,R,9680,39.2,54.3,1462,52.7%,1
"Loran, Disciple of History",W,U,62175,66.2,54.3,10118,51.6%,2
Tocasia's Onulet,W,C,62111,26.4,54.3,9748,53.7%,1
Thraxodemon,B,C,211186,73.1,54.3,37229,54.8%,2
Curate,U,C,67943,30.3,54.3,11845,52.0%,1
Brushland,WG,R,12684,47.2,54.2,2246,53.4%,1
Alloy Animist,G,U,37562,40.5,54.2,6492,54.6%,1
Scatter Ray,U,C,104111,43.8,54.2,18126,54.9%,1
Razorlash Transmogrant,B,R,23788,80.6,54.2,4378,56.6%,2
Bone Saw,,U,7348,8.6,54.0,1224,50.9%,1
Spotter Thopter,U,U,58639,73.0,54.0,9722,51.9%,1
Scrap Trawler,,R,16050,85.4,54.0,2785,51.7%,1
Gnarlroot Pallbearer,G,C,51877,23.2,53.9,7730,53.2%,1
Yotian Medic,W,C,58290,28.7,53.9,10053,52.9%,1
Powerstone Fracture,B,C,223146,78.2,53.9,36823,51.2%,1
Hall of Tagsin,,R,22863,83.4,53.8,4145,54.8%,1
Altar of Dementia,,M,6840,58.2,53.7,1183,53.3%,1
Gixian Infiltrator,B,C,157832,58.7,53.7,27673,55.0%,1
Deadly Riposte,W,C,74172,40.3,53.6,12649,52.4%,1
Sigil of Valor,,U,40755,48.9,53.6,6746,50.6%,1
Steel Exemplar,,U,42754,58.8,53.6,7023,53.1%,1
Hulking Metamorph,U,U,58762,74.1,53.6,9415,51.2%,1
Gaea's Courser,G,U,51746,67.6,53.6,8349,52.8%,1
Mishra's Foundry,,R,18144,78.8,53.5,3116,51.2%,1
Phyrexian Revoker,,R,11085,64.4,53.5,1965,50.8%,1
"Tocasia, Dig Site Mentor",WUG,R,7906,28.5,53.5,1234,54.5%,1
Phyrexian Processor,,M,9837,92.2,53.5,1665,52.9%,1
"Mishra, Excavation Prodigy",R,U,40297,49.5,53.5,6900,50.9%,1
Shoot Down,G,C,132582,54.4,53.4,21001,50.6%,1
Foundry Inspector,,U,65184,84.5,53.3,11384,52.3%,1
Sundering Titan,,M,6599,71.8,53.3,1007,53.4%,1
Sarinth Greatwurm,RG,M,9110,64.6,53.2,1433,53.6%,1
Raze to the Ground,R,C,46681,19.6,53.2,7560,50.9%,1
"Ramos, Dragon Engine",WUBRG,M,10408,92.0,53.2,1660,52.8%,1
Pyrrhic Blast,R,U,34350,35.6,53.2,5380,50.1%,1
Mesmeric Orb,,M,2011,21.5,53.2,372,,1
Kill-Zone Acrobat,B,C,104091,39.1,53.1,17741,52.4%,0
Brotherhood's End,R,R,13468,53.5,53.1,2350,52.3%,1
Argivian Avenger,,U,35997,59.2,53.1,5580,51.2%,1
Arcane Proxy,U,M,8801,62.1,53.0,1466,49.9%,0
Lodestone Golem,,R,9441,65.1,53.0,1629,52.2%,0
Goring Warplow,B,C,159733,72.1,52.9,27747,51.0%,1
Pristine Talisman,,U,38611,49.7,52.9,6794,53.4%,0
Carrion Locust,B,C,73381,33.1,52.9,12436,51.4%,0
Tocasia's Dig Site,,C,79572,36.8,52.9,13209,52.1%,0
Mine Worker,,C,72891,34.6,52.8,13434,53.0%,0
Mechanized Warfare,R,R,13537,53.8,52.8,2264,49.6%,0
Mishra's Domination,R,C,18700,8.0,52.7,3017,50.8%,0
Gruesome Realization,B,U,46973,58.5,52.7,7915,51.9%,0
Coastal Bulwark,,C,73593,32.0,52.7,13422,52.9%,0
Third Path Savant,U,C,87990,37.8,52.7,15208,50.2%,0
Corrupt,B,U,41481,41.4,52.7,6640,50.5%,0
Flow of Knowledge,U,U,11470,12.9,52.7,1879,50.5%,0
"Urza, Powerstone Prodigy",U,U,52824,65.5,52.7,9228,51.6%,0
"Drafna, Founder of Lat-Nam",U,R,22207,75.3,52.7,3909,50.3%,1
Fallaji Chaindancer,R,C,35821,16.3,52.7,5799,49.9%,0
Retrieval Agent,U,C,20354,9.4,52.7,3274,51.0%,0
Rust Goliath,G,C,122325,61.1,52.6,19464,50.8%,0
Perennial Behemoth,G,R,9479,44.6,52.6,1482,49.5%,0
Battlefield Butcher,B,U,60949,70.5,52.6,10553,50.9%,0
Fallaji Dragon Engine,R,U,51439,67.9,52.5,8654,50.6%,0
No One Left Behind,B,U,47229,57.1,52.5,7474,49.6%,0
Howling Mine,,R,7586,39.4,52.5,1339,50.5%,0
Blackblade Reforged,,R,6708,51.3,52.4,1128,49.7%,0
Hoarding Recluse,G,C,80866,39.3,52.4,13136,51.0%,0
Cradle Clearcutter,G,U,50530,68.4,52.4,8897,50.9%,0
Spectrum Sentinel,,U,9875,16.3,52.3,1739,49.2%,0
Sculpting Steel,,R,13574,78.7,52.3,2271,49.6%,1
Clay Revenant,B,C,97080,42.9,52.3,17457,53.0%,0
Battery Bearer,UG,U,44063,50.4,52.2,7355,53.8%,0
"Urza, Lord Protector",WU,M,6002,49.1,52.2,1078,55.5%,0
Great Desert Prospector,W,U,25857,34.8,52.2,3935,49.0%,0
Thopter Architect,W,U,35143,44.1,52.2,5666,48.4%,0
The Temporal Anchor,U,R,15234,52.5,52.2,2497,49.7%,0
Keening Stone,,R,10375,56.1,52.1,1672,51.6%,0
Sword of the Meek,,R,2881,21.6,52.1,456,,0
Mind's Eye,,M,5845,71.8,52.0,993,47.6%,1
Deathbloom Ritualist,BG,R,8915,33.9,52.0,1415,50.9%,0
Urza's Sylex,W,M,3865,34.7,52.0,640,46.7%,0
Tower Worker,,C,71929,39.4,51.9,12727,52.2%,0
Power Plant Worker,,C,54832,28.9,51.9,8823,49.7%,0
Heavyweight Demolisher,R,U,16565,21.4,51.9,2547,49.9%,0
"Tawnos, the Toymaker",UG,R,2262,8.5,51.7,367,,0
Defabricate,U,U,8041,11.0,51.7,1320,50.9%,0
Staff of Domination,,M,4910,64.6,51.7,884,49.0%,0
Dreams of Steel and Oil,B,U,15654,22.0,51.6,2787,54.3%,0
Ashnod's Intervention,B,C,15097,7.1,51.6,2457,49.1%,0
Tawnos's Tinkering,G,C,3266,1.6,51.5,496,,0
Hostile Negotiations,B,R,12587,48.9,51.4,2064,51.3%,0
Disciples of Gix,B,U,6841,7.2,51.4,1023,50.3%,0
Caged Sun,,M,2302,35.6,51.3,382,,0
Gixian Skullflayer,B,C,93604,49.6,51.2,15942,48.7%,0
Transmogrant Altar,B,U,30462,32.9,51.2,5113,48.2%,0
Chromatic Lantern,,R,6570,49.8,51.1,1126,48.4%,0
Stone Retrieval Unit,,C,63509,34.5,51.1,10688,49.8%,0
Goblin Firebomb,,C,23468,10.2,51.0,3757,46.7%,0
Gilded Lotus,,R,4294,37.5,51.0,679,48.6%,0
One with the Multiverse,U,M,4230,35.2,51.0,636,49.1%,0
Repair and Recharge,W,U,17707,25.8,51.0,2651,47.5%,0
Burnished Hart,,U,45768,69.8,50.9,8218,48.4%,0
Lat-Nam Adept,U,C,65379,32.1,50.9,10639,48.5%,0
Su-Chi Cave Guard,,U,24640,42.9,50.8,3733,49.6%,0
"Mishra, Tamer of Mak Fawa",BR,R,18350,67.5,50.8,2968,48.8%,0
Symmetry Matrix,,U,6907,8.1,50.5,1123,46.6%,0
Meticulous Excavation,W,U,6023,6.5,50.4,931,43.9%,0
Diabolic Intent,B,R,4725,23.7,50.2,785,43.3%,0
Quietus Spike,,R,4494,49.6,50.2,746,46.5%,0
Keeper of the Cadence,U,U,4907,5.2,50.2,761,46.8%,0
Fade from History,G,R,3651,14.4,50.2,597,46.4%,0
Depth Charge Colossus,U,C,26100,14.7,49.9,3977,48.8%,0
Astral Cornucopia,,R,2881,17.8,49.9,467,,0
Swiftfoot Boots,,U,21820,36.4,49.5,3715,44.4%,0
